@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}

@data
1940,'2016/11/03 14:05:01:009',39,-47.928909,-39.048035,-1.953064,-62.383713,-26.681007,113.8255,-36.23156,-5.288742,-69.557083,-50.370125,-12.510986,24.485947,-71.645279,-39.540718,49.804184,-86.793686,-21.196098,18.236877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1941,'2016/11/03 14:05:01:060',39,-48.303207,-40.023056,-2.972076,-62.481911,-27.54126,113.13562,-36.541237,-6.39209,-70.305847,-50.503967,-13.116333,24.066574,-72.040642,-40.066559,48.695175,-87.070328,-21.459808,17.99588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1942,'2016/11/03 14:05:01:108',39,-47.695297,-42.122986,-1.828644,-63.129845,-28.478409,112.860748,-36.778961,-7.62706,-70.388672,-50.908211,-13.924728,24.079453,-72.601891,-40.851418,48.102631,-87.509232,-22.136497,17.617126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1943,'2016/11/03 14:05:01:160',39,-47.490891,-43.61882,-0.845535,-63.844856,-29.007088,112.622986,-37.707481,-8.091339,-70.653671,-51.616173,-14.349106,23.967865,-73.608009,-41.157005,47.744141,-88.339157,-22.256668,17.702789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1944,'2016/11/03 14:05:01:209',39,-47.909592,-44.22509,-1.070862,-64.36306,-29.466576,112.245544,-39.391533,-8.228378,-71.446838,-52.649147,-14.645966,23.492188,-74.375999,-41.547516,47.458527,-89.362289,-22.651711,17.910141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1945,'2016/11/03 14:05:01:259',39,-49.787308,-44.355965,-3.129852,-64.598564,-30.223915,111.251068,-43.266533,-7.093307,-72.742958,-54.668762,-14.496292,22.6987,-75.097977,-42.010422,46.421936,-91.156937,-23.216011,18.816254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1946,'2016/11/03 14:05:01:309',39,-51.800819,-45.061211,-2.650711,-64.615417,-29.914864,111.628479,-46.31971,-7.223206,-74.158058,-56.06102,-14.437347,22.167358,-75.547813,-42.114532,47.743759,-92.367538,-23.679695,20.272095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1947,'2016/11/03 14:05:01:360',39,-52.26548,-45.246223,-2.430298,-64.285759,-29.876167,111.86557,-47.349136,-7.068649,-74.451492,-56.213783,-14.428787,22.180344,-75.538307,-42.100502,48.286606,-92.518883,-23.692863,21.102097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1948,'2016/11/03 14:05:01:408',39,-52.532257,-45.556709,-2.188934,-63.797974,-29.920166,111.893616,-47.925568,-7.084656,-74.891922,-56.093681,-14.553482,21.97496,-75.360046,-42.163322,48.690308,-92.421768,-23.772385,21.625778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1949,'2016/11/03 14:05:01:459',39,-52.813309,-46.593147,0.154388,-63.539383,-30.085754,113.082153,-46.972481,-7.961441,-74.232925,-55.343864,-15.238129,22.725952,-75.122505,-42.520508,50.270859,-91.814468,-24.119423,22.27002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
